id,name,category,brand,price
1,Apple Chocolate 214,Books,Apple,413.74
2,Dell Book 275,Electronics,Dell,677.23
3,Asus Backpack 944,Fashion,Asus,925.86
4,Philips Tablet 177,Grocery,Philips,485.78
5,Puma Sneakers 489,Toys,Puma,21.51
6,Puma Chocolate 580,Books,Puma,1359.47
7,Canon Book 226,Fashion,Canon,1016.57
8,Canon T-shirt 187,Books,Canon,287.55
9,Adidas Camera 406,Health,Adidas,191.01
10,Lenovo Mixer 485,Books,Lenovo,787.97
11,Samsung Shampoo 933,Health,Samsung,920.09
12,Asus Smartphone 123,Health,Asus,329.39
13,Sony Perfume 736,Books,Sony,1413.39
14,LG Camera 681,Electronics,LG,138.18
15,LG Toy Car 450,Toys,LG,1465.39
16,Philips Smartphone 337,Beauty,Philips,591.36
17,Panasonic Watch 554,Automotive,Panasonic,951.39
18,Philips Toy Car 868,Toys,Philips,1228.59
19,Philips Sneakers 562,Fashion,Philips,944.34
20,Nike Headphones 372,Grocery,Nike,1483.31
21,LG Book 153,Sports,LG,1414.3
22,Nike Perfume 310,Beauty,Nike,802.91
23,Lenovo Mixer 900,Grocery,Lenovo,1160.98
24,Puma Backpack 313,Automotive,Puma,1324.45
25,Adidas Camera 565,Toys,Adidas,736.46
26,Apple Smartphone 728,Beauty,Apple,1180.34
27,Samsung Mixer 742,Toys,Samsung,1382.08
28,Philips Smartphone 874,Toys,Philips,660.06
29,Nike Football 752,Sports,Nike,461.14
30,Samsung T-shirt 818,Automotive,Samsung,107.36
31,Panasonic Chocolate 764,Toys,Panasonic,950.67
32,Apple Book 188,Health,Apple,1027.4
33,Adidas Tablet 270,Electronics,Adidas,786.36
34,LG Mixer 432,Health,LG,649.56
35,Adidas Chocolate 964,Health,Adidas,715.66
36,Dell Backpack 702,Sports,Dell,540.91
37,LG Shampoo 204,Home & Kitchen,LG,143.66
38,Panasonic Sneakers 182,Home & Kitchen,Panasonic,254.84
39,Puma Laptop 998,Home & Kitchen,Puma,745.87
40,Dell Book 323,Toys,Dell,998.11
41,Asus Shampoo 914,Home & Kitchen,Asus,584.45
42,Philips Perfume 364,Books,Philips,1014.72
43,HP Sneakers 500,Electronics,HP,97.95
44,Apple Sneakers 508,Books,Apple,847.64
45,Apple Toy Car 708,Health,Apple,832.04
46,Puma Backpack 710,Sports,Puma,358.44
47,Puma Sneakers 925,Beauty,Puma,1189.99
48,Canon Supplements 189,Books,Canon,1067.08
49,Philips Smartphone 496,Grocery,Philips,1166.83
50,LG Supplements 368,Automotive,LG,161.31
51,Canon Football 769,Health,Canon,1343.95
52,Asus Shampoo 854,Electronics,Asus,314.69
